fip,state,pop,x,y,city
91803,CA,30228,-118.143354,34.074514,ALHAMBRA
59420,MT,99,-110.978593,47.780964,CARTER
73724,OK,1293,-98.577818,36.037194,CANTON
68405,NE,3258,-97.05763,40.763153,MILFORD
62215,IL,1641,-89.620151,38.531955,ALBERS
59417,MT,6712,-113.019697,48.54926,SAINT MARY
59412,MT,1383,-110.908099,47.38211,BELT
62845,IL,641,-88.213152,37.967542,HERALD
59411,MT,224,-113.368132,48.878781,BABB
65632,MO,1451,-92.7891,37.508472,CONWAY
59405,MT,32774,-111.250227,47.495016,GREAT FALLS
13210,NY,31197,-76.128166,43.035414,SYRACUSE
59404,MT,23133,-111.340496,47.509755,GREAT FALLS
59354,MT,39,-104.446662,46.114064,WILLARD
01720,MA,15514,-71.448255,42.475076,ACTON
59353,MT,1191,-104.189715,46.964596,WIBAUX
52101,IA,13593,-91.793947,43.322711,DECORAH
59347,MT,3867,-106.598123,45.935826,ROSEBUD
53587,WI,1444,-89.888844,42.582199,SOUTH WAYNE
60626,IL,57320,-87.668887,42.009475,CHICAGO
59345,MT,24,-105.276098,45.739183,POWDERVILLE
59343,MT,59,-105.668741,45.546641,OLIVE
98249,WA,2321,-122.564086,48.03417,FREELAND
03216,NH,1638,-71.782952,43.428668,ANDOVER
59341,MT,83,-104.7891,46.751671,MILDRED
37141,TN,614,-86.699002,36.611045,ORLINDA
62701,IL,1155,-89.649531,39.80004,SPRINGFIELD
53805,WI,4755,-90.706101,43.139327,BOSCOBEL
44314,OH,21289,-81.559825,41.040774,AKRON
58651,ND,467,-103.70791,46.166449,RHAME
59338,MT,346,-105.74458,46.577008,KINSEY
56343,MN,770,-95.694452,45.81761,KENSINGTON
59336,MT,317,-105.209064,46.413223,ISMAY
28462,NC,7513,-78.296089,33.962504,HOLDEN BEACH
59332,MT,358,-104.615444,45.291872,HAMMOND
59327,MT,3148,-106.699086,46.2819,FORSYTH
59319,MT,73,-104.146212,45.473162,CAPITOL
59318,MT,229,-107.599864,47.342341,BRUSETT
59316,MT,90,-104.884118,45.490003,BOYES
59315,MT,569,-104.878235,47.340813,BLOOMFIELD
14839,NY,927,-77.636041,42.139809,GREENWOOD
64859,MO,222,-94.161272,37.122477,REEDS
29841,SC,45886,-81.934794,33.517766,BEECH ISLAND
